/* DATA DESCRIPTION:
Citation:	Channell, James E T; Hodell, David A; Xuang, Chuang; Mazaud, Alain; Stoner, Joseph S (2008): Susceptibility of IODP Site 303-U1308 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.808946, 
	In supplement to: Channell, JET et al. (2008): Age calibrated relative paleointensity for the last 1.5 Myr from IODP Site U1308 (North Atlantic). Earth and Planetary Science Letters, 274, 59-71, https://doi.org/10.1016/j.epsl.2008.07.005
Related to:	Channell, James E T; Hodell, David A (2013): Magnetic signatures of Heinrich-like detrital layers in the Quaternary of the North Atlantic. Earth and Planetary Science Letters, 369-370, 260-270, https://doi.org/10.1016/j.epsl.2013.03.034
	Channell, James E T; Hodell, David A; Romero, Oscar E; Hillaire-Marcel, Claude; de Vernal, Anne; Stoner, Joseph S; Mazaud, Alain; Röhl, Ursula (2012): A 750-kyr detrital-layer stratigraphy for the North Atlantic (IODP Sites U1302–U1303, Orphan Knoll, Labrador Sea). Earth and Planetary Science Letters, 317-318, 218-230, https://doi.org/10.1016/j.epsl.2011.11.029
	Hodell, David A; Channell, James E T; Curtis, Jason H; Romero, Oscar E; Röhl, Ursula (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Coverage:	LATITUDE: 49.877760 * LONGITUDE: -24.238110
	DATE/TIME START: 2004-10-30T00:00:00 * DATE/TIME END: 2004-10-30T00:00:00
	MINIMUM ELEVATION: -3871.0 m * MAXIMUM ELEVATION: -3871.0 m
Event(s):	303-U1308 * LATITUDE: 49.877760 * LONGITUDE: -24.238110 * DATE/TIME: 2004-10-30T00:00:00 * ELEVATION: -3871.0 m * PENETRATION: 1253.5 m * RECOVERY: 1246 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Exp303 (North Atlantic Climate 1) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 134 cores; 1246.0 m cored; 7.5 m drilled; 95.4 % recovery
Parameter(s):	Depth, composite [mcd] (Depth comp) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html) * METHOD/DEVICE: Intercore correlation
	Magnetic susceptibility, volume [10**-6 SI] (kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
	ARM Susceptibility/susceptibility ratio [A/m] (ARM/kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	32289 data points
*/
Depth comp [mcd]	kappa [10**-6 SI]	ARM/kappa [A/m]
56.44	697.6	2.248
56.45	705.6	2.117
56.46	715.3	1.982
56.47	737.9	1.822
56.48	769.4	1.660
56.49	793.5	1.532
56.50	818.1	1.424
56.51	857.8	1.313
56.52	897.7	1.224
56.53	919.4	1.163
56.54	936.0	1.100
56.55	958.2	1.023
56.56	988.3	0.942
56.57	1001.5	0.889
56.58	988.4	0.873
56.59	949.8	0.888
56.60	914.8	0.905
56.61	910.4	0.893
56.62	922.7	0.863
56.63	911.8	0.854
56.64	878.1	0.860
56.65	861.6	0.847
56.66	852.2	0.827
56.67	802.6	0.849
56.68	694.2	0.956
56.69	567.3	1.150
56.70	478.0	1.360
56.71	440.1	1.497
56.72	424.4	1.596
56.73	407.3	1.721
56.74	385.1	1.882
56.75	357.3	2.085
56.76	329.0	2.317
56.77	305.1	2.553
56.78	287.6	2.772
56.79	275.0	2.967
56.80	267.9	3.115
56.81	265.0	3.216
56.82	264.2	3.292
56.83	264.7	3.356
56.84	272.1	3.344
56.85	286.6	3.264
56.86	304.4	3.165
56.87	320.2	3.099
56.88	331.0	3.080
56.89	343.0	3.031
56.90	362.3	2.896
56.91	385.6	2.728
56.92	413.2	2.538
56.93	443.7	2.341
56.94	460.6	2.213
56.95	465.6	2.133
56.96	485.7	1.974
56.97	509.8	1.787
56.98	512.1	1.657
56.99	536.5	1.457
57.00	614.2	1.169
57.01	665.8	1.002
57.02	647.9	0.977
57.03	608.7	1.013
57.04	595.9	1.035
57.05	597.4	1.058
57.06	604.8	1.087
57.07	619.1	1.115
57.08	637.6	1.133
57.09	658.4	1.136
57.10	679.7	1.131
57.11	700.3	1.118
57.12	695.6	1.137
57.13	652.5	1.216
57.14	594.2	1.331
57.15	553.2	1.419
57.16	528.6	1.474
57.17	501.3	1.544
57.18	472.8	1.622
57.19	454.0	1.669
57.20	442.9	1.687
57.21	439.0	1.675
57.22	447.0	1.617
57.23	453.4	1.561
57.24	446.6	1.555
57.25	542.3	1.220
57.26	575.0	1.234
57.27	603.1	1.233
57.28	592.0	1.294
57.29	574.2	1.353
57.30	559.6	1.386
57.31	537.0	1.423
57.32	525.0	1.425
57.33	525.7	1.392
57.34	528.8	1.357
57.35	534.9	1.321
57.36	544.2	1.287
57.37	553.5	1.265
57.38	558.4	1.263
57.39	560.8	1.274
57.40	569.2	1.274
57.41	574.0	1.282
57.42	567.0	1.312
57.43	566.1	1.324
57.44	571.5	1.321
57.45	580.3	1.309
57.46	590.1	1.296
57.47	601.9	1.281
57.48	610.3	1.277
57.49	602.8	1.307
57.50	579.5	1.368
57.51	557.1	1.424
57.52	559.6	1.418
57.53	580.7	1.373
57.54	590.0	1.360
57.55	572.7	1.404
57.56	546.4	1.463
57.57	535.9	1.478
57.58	533.1	1.475
57.59	527.8	1.487
57.60	524.6	1.498
57.61	529.4	1.490
57.62	540.4	1.471
57.63	556.8	1.443
57.64	570.6	1.424
57.65	574.2	1.427
57.66	576.0	1.428
57.67	580.9	1.419
57.68	567.9	1.449
57.69	535.1	1.527
57.70	520.9	1.550
57.71	537.1	1.485
57.72	543.5	1.456
57.73	526.0	1.499
57.74	529.6	1.485
57.75	541.8	1.451
57.76	538.0	1.461
57.77	523.7	1.500
57.78	513.4	1.525
57.79	514.9	1.513
57.80	507.8	1.530
57.81	496.0	1.564
57.82	495.6	1.563
57.83	502.2	1.541
57.84	502.0	1.542
57.85	501.2	1.546
57.86	510.1	1.522
57.87	534.1	1.461
57.88	558.3	1.410
57.89	576.0	1.378
57.90	578.5	1.377
57.91	581.2	1.363
57.92	576.2	1.354
57.93	548.2	1.386
57.94	509.9	1.432
57.95	478.4	1.454
57.96	451.0	1.460
57.97	427.6	1.464
57.98	413.2	1.459
57.99	407.0	1.463
58.00	416.3	1.458
58.01	441.8	1.451
58.02	494.6	1.408
58.03	556.5	1.390
58.04	595.9	1.445
58.05	613.1	1.550
58.06	613.6	1.673
58.07	607.2	1.796
58.08	596.2	1.908
58.09	580.8	2.012
58.10	567.2	2.089
58.11	545.6	2.183
58.12	521.1	2.288
58.13	521.4	2.285
58.14	533.7	2.235
58.15	538.5	2.225
58.16	533.1	2.260
58.17	515.7	2.349
58.18	497.8	2.448
58.19	489.7	2.508
58.20	487.6	2.544
58.21	483.4	2.594
58.22	477.6	2.649
58.23	475.3	2.679
58.24	477.2	2.681
58.25	482.8	2.664
58.26	492.2	2.632
58.27	505.5	2.589
58.28	520.4	2.548
58.29	525.8	2.555
58.30	520.6	2.604
58.31	511.6	2.657
58.32	501.9	2.698
58.33	487.5	2.756
58.34	462.9	2.868
58.35	426.3	3.067
58.36	384.7	3.338
58.37	353.7	3.560
58.38	343.3	3.600
58.39	348.2	3.501
58.40	351.4	3.449
58.41	352.0	3.448
58.42	358.1	3.414
58.43	366.4	3.366
58.44	372.0	3.345
58.45	383.8	3.261
58.46	397.4	3.157
58.47	407.0	3.082
58.48	412.9	3.031
58.49	418.2	2.984
58.50	422.4	2.947
58.51	424.2	2.933
58.52	429.2	2.904
58.53	439.8	2.840
58.54	449.7	2.786
58.55	456.3	2.755
58.56	461.5	2.730
58.57	464.4	2.714
58.58	458.6	2.743
58.59	440.0	2.848
58.60	423.2	2.951
58.61	426.2	2.933
58.62	446.6	2.834
58.63	478.0	2.711
58.64	507.3	2.628
58.65	526.9	2.581
58.66	531.9	2.553
58.67	516.0	2.546
58.73	593.4	1.894
58.74	621.3	2.038
58.75	634.8	2.147
58.76	648.3	2.208
58.77	658.5	2.248
58.78	658.9	2.295
58.79	658.4	2.322
58.80	669.4	2.290
58.81	685.4	2.231
58.82	696.7	2.183
58.83	699.7	2.155
58.84	686.9	2.167
58.85	658.7	2.224
58.86	623.9	2.301
58.87	591.0	2.376
58.88	556.7	2.469
58.89	517.2	2.607
58.90	478.4	2.778
58.91	437.6	3.007
58.92	405.3	3.224
58.93	386.3	3.367
58.94	372.2	3.484
58.95	364.5	3.548
58.96	364.6	3.545
58.97	364.5	3.551
58.98	365.9	3.549
58.99	374.2	3.488
59.00	385.5	3.411
59.01	394.3	3.367
59.02	399.1	3.359
59.03	398.4	3.392
59.04	394.6	3.440
59.05	392.1	3.460
59.06	384.4	3.517
59.07	373.5	3.604
59.08	370.3	3.626
59.09	374.4	3.581
59.10	380.7	3.522
59.11	385.5	3.480
59.12	389.2	3.445
59.13	399.5	3.348
59.14	413.7	3.221
59.15	424.9	3.124
59.16	432.4	3.060
59.17	440.4	2.995
59.18	446.1	2.951
59.19	449.9	2.922
59.20	452.3	2.902
59.21	456.2	2.867
59.22	458.6	2.834
59.23	461.3	2.796
59.24	478.7	2.682
59.25	504.8	2.542
59.26	519.6	2.477
59.27	524.1	2.467
59.28	523.4	2.480
59.29	523.7	2.490
59.30	530.6	2.473
59.31	547.6	2.421
59.32	568.5	2.363
59.33	581.1	2.342
59.34	577.2	2.379
59.35	563.8	2.440
59.36	550.0	2.493
59.37	544.0	2.510
59.38	548.9	2.488
59.39	556.5	2.464
59.40	560.4	2.460
59.41	557.5	2.486
59.42	553.2	2.523
59.43	557.5	2.525
59.44	564.5	2.514
59.45	561.0	2.538
59.46	553.2	2.569
59.47	553.1	2.563
59.48	560.4	2.532
59.49	568.6	2.510
59.50	569.4	2.525
59.51	559.0	2.585
59.52	545.2	2.657
59.53	541.0	2.683
59.54	542.3	2.689
59.55	555.7	2.645
59.56	568.9	2.610
59.57	567.3	2.643
59.58	573.5	2.638
59.59	591.5	2.580
59.60	583.7	2.632
59.61	562.6	2.735
59.62	556.3	2.756
59.63	557.8	2.733
59.64	557.4	2.716
59.65	553.5	2.710
59.66	546.4	2.709
59.67	520.9	2.787
59.68	476.9	2.962
59.69	440.0	3.102
59.70	421.6	3.127
59.71	408.2	3.130
59.72	392.8	3.175
59.73	389.5	3.149
59.74	402.8	3.025
59.75	416.8	2.930
59.76	425.1	2.892
59.77	426.0	2.901
59.78	418.2	2.954
59.79	407.7	3.008
59.80	398.8	3.032
59.81	393.3	3.022
59.82	391.8	2.972
59.83	399.7	2.854
59.84	412.6	2.712
59.85	423.5	2.594
59.86	432.5	2.489
59.87	441.2	2.382
59.88	447.3	2.275
59.89	452.3	2.153
59.90	459.1	2.004
59.91	457.1	1.885
59.92	463.7	1.752
59.93	507.9	1.544
59.94	566.1	1.383
59.95	592.5	1.349
59.96	601.4	1.369
59.97	676.0	1.260
59.98	800.5	1.116
59.99	862.3	1.098
60.00	858.9	1.165
60.01	823.8	1.267
60.02	796.1	1.342
60.03	824.2	1.318
60.04	894.0	1.239
60.05	922.0	1.226
60.06	931.4	1.233
60.07	944.5	1.227
60.08	950.0	1.227
60.09	956.9	1.228
60.10	1018.3	1.169
60.11	1134.2	1.076
60.12	1158.1	1.090
60.13	1093.8	1.194
60.14	1037.0	1.292
60.15	995.8	1.363
60.16	948.2	1.424
60.17	874.0	1.493
60.23	570.7	1.579
60.24	597.8	1.744
60.25	596.6	1.887
60.26	593.8	1.954
60.27	601.6	1.919
60.28	617.2	1.808
60.29	611.2	1.713
60.30	561.8	1.695
60.31	477.8	1.751
60.32	385.9	1.847
60.33	327.7	1.864
60.34	309.5	1.774
60.35	315.6	1.729
60.36	354.6	1.714
60.37	444.0	1.643
60.38	550.2	1.620
60.39	610.4	1.739
60.40	631.8	1.912
60.41	636.9	2.076
60.42	626.3	2.243
60.43	613.9	2.377
60.44	603.2	2.465
60.45	592.0	2.521
60.46	589.4	2.513
60.47	588.3	2.480
60.48	588.6	2.432
60.49	600.3	2.337
60.50	620.4	2.226
60.51	627.6	2.186
60.52	622.4	2.210
60.53	633.9	2.193
60.54	662.3	2.136
60.55	681.6	2.128
60.56	689.6	2.179
60.57	692.9	2.270
60.58	692.1	2.386
60.59	696.6	2.480
60.60	706.2	2.540
60.61	718.9	2.571
60.62	734.4	2.576
60.63	741.7	2.593
60.64	750.2	2.600
60.65	784.2	2.533
60.66	820.2	2.484
60.67	843.3	2.475
60.68	856.8	2.488
60.69	868.1	2.495
60.70	882.7	2.476
60.71	902.6	2.424
60.72	921.5	2.355
60.73	937.2	2.274
60.74	950.9	2.181
60.75	947.8	2.111
60.76	918.1	2.075
60.77	869.2	2.055
60.78	830.3	1.982
60.79	811.7	1.852
60.80	808.0	1.693
60.81	818.3	1.526
60.82	835.5	1.382
60.83	849.4	1.280
60.84	846.8	1.233
60.85	826.7	1.233
60.86	796.9	1.267
60.87	767.8	1.324
60.88	747.1	1.392
60.89	725.6	1.481
60.90	681.3	1.634
60.91	623.7	1.848
60.92	582.9	2.044
60.93	562.6	2.185
60.94	545.5	2.322
60.95	534.1	2.431
60.96	517.1	2.549
60.97	490.5	2.695
60.98	468.4	2.797
60.99	458.7	2.798
61.00	445.7	2.782
61.01	432.6	2.725
61.02	431.9	2.558
61.03	437.6	2.340
61.04	439.1	2.147
61.05	436.8	1.990
61.06	438.3	1.829
61.07	444.0	1.658
61.08	446.2	1.512
61.09	443.5	1.408
61.10	446.8	1.319
61.11	454.5	1.259
61.12	462.0	1.240
61.13	468.0	1.255
61.14	474.4	1.295
61.15	473.2	1.381
61.16	464.1	1.517
61.17	446.5	1.714
61.18	421.9	1.968
61.19	398.4	2.236
61.20	377.0	2.507
61.21	356.4	2.775
61.22	340.8	2.995
61.23	335.3	3.110
61.24	338.9	3.121
61.25	346.2	3.080
61.26	354.0	3.025
61.27	359.8	2.987
61.28	369.2	2.926
61.29	381.6	2.851
61.30	396.8	2.761
61.31	413.2	2.666
61.32	423.1	2.610
61.33	424.5	2.599
61.34	421.8	2.608
61.35	424.0	2.587
61.36	432.1	2.540
61.37	435.9	2.527
61.38	439.6	2.518
61.39	448.8	2.478
61.40	450.9	2.469
61.41	441.9	2.512
61.42	420.5	2.623
61.43	408.2	2.674
61.44	425.0	2.543
61.45	455.1	2.359
61.46	474.6	2.263
61.47	475.4	2.275
61.48	462.8	2.359
61.49	450.6	2.448
61.50	443.1	2.517
61.51	430.6	2.621
61.52	418.1	2.734
61.53	412.1	2.815
61.54	405.9	2.909
61.55	396.2	3.031
61.56	388.7	3.133
61.57	380.3	3.231
61.58	369.5	3.340
61.59	361.2	3.420
61.60	360.7	3.425
61.61	364.2	3.395
61.62	364.5	3.400
61.63	360.4	3.441
61.64	360.9	3.418
61.65	364.9	3.334
61.66	363.9	3.257
61.67	350.0	3.233
61.73	382.9	2.434
61.74	402.7	2.616
61.75	407.4	2.772
61.76	409.7	2.861
61.77	409.8	2.912
61.78	410.8	2.925
61.79	416.9	2.882
61.80	424.0	2.818
61.81	423.9	2.785
61.82	412.4	2.809
61.83	406.5	2.784
61.84	413.6	2.665
61.85	402.7	2.659
61.86	365.2	2.838
61.87	328.5	3.047
61.88	308.6	3.145
61.89	300.9	3.146
61.90	295.2	3.145
61.91	290.5	3.139
61.92	286.4	3.128
61.93	283.7	3.102
61.94	279.1	3.097
61.95	269.6	3.148
61.96	256.2	3.250
61.97	249.4	3.282
61.98	244.4	3.296
61.99	235.8	3.357
62.00	230.3	3.374
62.01	228.2	3.342
62.02	226.0	3.309
62.03	224.8	3.264
62.04	225.8	3.198
62.05	230.5	3.097
62.06	233.2	3.046
62.07	233.3	3.054
62.08	234.9	3.073
62.09	242.4	3.037
62.10	254.2	2.962
62.11	259.9	2.958
62.12	261.1	2.999
62.13	261.1	3.045
62.14	261.0	3.091
62.15	266.8	3.073
62.16	272.6	3.061
62.17	274.8	3.088
62.18	278.3	3.089
62.19	285.3	3.035
62.20	291.5	2.968
62.21	295.0	2.901
62.22	290.6	2.872
62.23	268.6	2.973
62.24	221.2	3.389
62.25	168.1	4.143
62.26	168.4	3.949
62.27	227.0	3.005
62.28	285.2	2.590
62.29	315.5	2.548
62.30	327.2	2.620
62.31	331.1	2.704
62.32	332.0	2.770
62.33	326.4	2.848
62.34	309.3	2.998
62.35	285.4	3.208
62.36	272.4	3.318
62.37	288.1	3.132
62.38	308.6	2.963
62.39	319.8	2.915
62.40	323.5	2.930
62.41	322.0	2.977
62.42	320.7	3.010
62.43	323.5	3.006
62.44	329.0	2.982
62.45	334.0	2.970
62.46	337.5	2.974
62.47	340.6	2.983
62.48	343.6	2.991
62.49	346.1	3.002
62.50	348.8	3.008
62.51	351.8	3.006
62.52	352.0	3.017
62.53	345.5	3.069
62.54	332.7	3.162
62.55	316.3	3.281
62.56	300.6	3.397
62.57	290.1	3.461
62.58	286.2	3.459
62.59	283.5	3.454
62.60	278.8	3.483
62.61	274.2	3.512
62.62	267.7	3.567
62.63	261.6	3.622
62.64	259.6	3.623
62.65	257.1	3.633
62.66	250.1	3.708
62.67	242.7	3.791
62.68	238.9	3.822
62.69	237.6	3.819
62.70	238.0	3.797
62.71	234.6	3.832
62.72	228.5	3.908
62.73	223.6	3.962
62.74	221.4	3.976
62.75	219.1	3.999
62.76	218.8	3.995
62.77	218.2	4.006
62.78	219.4	3.993
62.79	220.1	3.996
62.80	221.6	3.992
62.81	222.2	4.003
62.82	223.4	4.002
62.83	224.1	4.004
62.84	223.7	4.023
62.85	223.7	4.035
62.86	225.5	4.020
62.87	228.0	4.006
62.88	229.5	4.018
62.89	231.2	4.029
62.90	234.9	4.007
62.91	242.9	3.916
62.92	249.0	3.862
62.93	253.8	3.827
62.94	255.4	3.836
62.95	257.3	3.835
62.96	204.2	3.868
62.97	205.4	3.866
62.98	209.3	3.827
62.99	214.8	3.775
63.00	222.4	3.706
63.01	227.4	3.694
63.02	229.1	3.740
63.03	237.9	3.681
63.04	251.7	3.570
63.05	265.5	3.482
63.06	275.0	3.456
63.07	282.8	3.449
63.08	294.9	3.389
63.09	308.9	3.318
63.10	325.5	3.226
63.11	342.5	3.138
63.12	353.9	3.100
63.13	355.5	3.142
63.14	356.4	3.185
63.15	360.6	3.201
63.16	361.8	3.253
63.17	356.2	3.377
63.18	348.2	3.547
63.19	366.8	3.473
63.20	423.2	3.131
63.21	487.2	2.848
63.22	529.4	2.732
63.23	545.6	2.742
63.24	558.5	2.749
63.25	582.2	2.695
63.26	605.2	2.643
63.27	618.2	2.629
63.28	617.0	2.660
63.29	612.9	2.690
63.30	615.0	2.688
63.31	627.2	2.648
63.32	641.3	2.609
63.33	645.2	2.617
63.34	641.8	2.656
63.35	651.6	2.646
63.36	679.6	2.580
63.37	700.6	2.552
63.38	710.0	2.564
63.39	719.6	2.567
63.40	730.1	2.557
63.41	738.4	2.550
63.42	749.3	2.530
63.43	753.9	2.531
63.44	747.9	2.568
63.45	757.8	2.552
63.46	785.2	2.487
63.47	811.6	2.436
63.48	832.5	2.410
63.49	844.6	2.409
63.50	856.8	2.409
63.51	872.8	2.400
63.52	892.8	2.383
63.53	918.2	2.352
63.54	935.7	2.337
63.55	937.2	2.357
63.56	939.1	2.370
63.57	966.7	2.327
63.58	1001.1	2.279
63.59	1022.1	2.267
63.60	1032.9	2.270
63.61	1037.2	2.278
63.62	1032.8	2.296
63.63	1031.1	2.300
63.64	1029.3	2.298
63.65	1021.3	2.303
63.66	1020.2	2.288
63.67	1026.6	2.255
63.68	1033.0	2.224
63.69	1033.7	2.209
63.70	1027.9	2.207
63.71	1018.3	2.210
63.72	1002.2	2.215
63.73	996.1	2.185
63.74	991.2	2.141
63.75	966.6	2.134
63.76	949.6	2.112
63.77	952.5	2.063
63.78	945.9	2.057
63.79	939.3	2.070
63.80	961.3	2.034
63.81	1010.0	1.952
63.82	1068.9	1.857
63.83	1112.7	1.783
63.84	1129.2	1.732
63.85	1111.1	1.700
63.86	1080.9	1.658
63.87	1049.3	1.610
63.88	1005.0	1.585
63.89	953.6	1.576
63.90	921.5	1.551
63.91	945.1	1.442
63.92	1015.6	1.290
63.93	1032.7	1.226
63.94	989.4	1.245
63.95	992.1	1.218
63.96	1030.4	1.161
63.97	1041.8	1.144
63.98	1023.9	1.166
63.99	985.2	1.218
64.00	930.4	1.305
64.01	883.1	1.399
64.02	844.6	1.496
64.03	802.9	1.611
64.04	754.3	1.750
64.05	715.3	1.876
64.06	701.0	1.934
64.07	692.0	1.960
64.08	667.9	1.994
64.14	512.9	1.990
64.15	559.0	2.188
64.16	583.0	2.360
64.17	595.2	2.487
64.18	592.6	2.601
64.19	588.3	2.686
64.20	597.6	2.694
64.21	621.8	2.636
64.22	650.5	2.564
64.23	686.5	2.467
64.24	725.5	2.355
64.25	749.7	2.278
64.26	742.6	2.272
64.27	708.3	2.328
64.28	650.5	2.457
64.29	586.3	2.643
64.30	552.9	2.742
64.31	549.8	2.743
64.32	561.4	2.713
64.33	576.2	2.695
64.34	594.5	2.669
64.35	615.9	2.633
64.36	643.5	2.574
64.37	680.4	2.486
64.38	708.1	2.434
64.39	720.7	2.428
64.40	736.1	2.410
64.41	737.9	2.435
64.42	739.2	2.453
64.43	744.6	2.440
64.44	732.6	2.464
64.45	700.3	2.533
64.46	632.3	2.725
64.47	537.8	3.080
64.48	459.3	3.449
64.49	418.7	3.638
64.50	405.5	3.658
64.51	407.0	3.605
64.52	414.2	3.544
64.53	425.9	3.479
64.54	443.9	3.391
64.55	464.9	3.306
64.56	485.4	3.236
64.57	502.0	3.188
64.58	523.1	3.100
64.59	546.5	2.990
64.60	569.9	2.870
64.61	587.4	2.763
64.62	533.5	2.979
64.63	413.7	3.700
64.64	325.7	4.470
64.65	286.5	4.840
64.66	273.4	4.880
64.67	270.4	4.811
64.68	272.3	4.701
64.69	276.1	4.583
64.70	280.5	4.473
64.71	286.6	4.347
64.72	295.8	4.190
64.73	309.7	3.990
64.74	325.1	3.796
64.75	338.3	3.645
64.76	350.7	3.508
64.77	365.1	3.357
64.78	379.4	3.216
64.79	393.5	3.088
64.80	401.4	3.009
64.81	401.2	2.976
64.82	388.2	3.021
64.83	363.6	3.152
64.84	343.4	3.254
64.85	330.2	3.309
64.86	323.1	3.323
64.87	323.4	3.286
64.88	325.0	3.259
64.89	330.1	3.205
64.90	338.6	3.112
64.91	341.0	3.059
64.92	335.0	3.064
64.93	326.9	3.084
64.94	328.9	3.015
64.95	330.0	2.961
64.96	316.6	3.031
64.97	294.0	3.186
64.98	279.3	3.261
64.99	277.5	3.204
65.00	285.9	3.042
65.01	318.1	2.682
65.02	425.9	1.962
65.03	689.2	1.187
65.04	969.4	0.828
65.05	852.5	0.928
65.06	545.3	1.441
65.07	377.4	2.083
65.08	319.8	2.471
65.09	302.4	2.630
65.10	297.3	2.694
65.11	296.4	2.720
65.12	296.3	2.737
65.13	289.8	2.804
65.14	274.6	2.944
65.15	254.8	3.132
65.16	238.1	3.288
65.17	228.7	3.355
65.18	225.5	3.340
65.19	224.8	3.299
65.20	226.7	3.236
65.21	227.7	3.196
65.22	227.1	3.183
65.23	233.4	3.082
65.24	242.7	2.963
65.25	249.5	2.893
65.26	255.9	2.832
65.27	264.5	2.746
65.28	272.6	2.664
65.29	279.6	2.594
65.30	286.4	2.527
65.31	301.6	2.397
65.32	326.1	2.210
65.33	344.7	2.085
65.34	360.9	1.996
65.35	383.2	1.904
65.36	401.1	1.866
65.37	411.7	1.886
65.38	406.9	1.997
65.39	388.4	2.197
65.40	368.8	2.416
65.41	350.4	2.620
65.42	335.8	2.774
65.43	323.1	2.896
65.44	307.1	3.048
65.45	291.2	3.216
65.46	284.0	3.300
65.47	287.4	3.259
65.48	295.6	3.169
65.49	308.3	3.051
65.50	326.0	2.915
65.51	345.0	2.802
65.52	364.2	2.715
65.53	380.9	2.662
65.54	393.7	2.637
65.55	402.7	2.626
65.56	409.7	2.602
65.57	417.7	2.531
65.58	421.2	2.442
65.64	481.4	2.028
65.65	502.0	2.204
65.66	533.5	2.246
65.67	571.7	2.218
65.68	600.0	2.201
65.69	615.2	2.206
65.70	625.8	2.204
65.71	636.0	2.184
65.72	646.7	2.148
65.73	652.6	2.118
65.74	657.6	2.082
65.75	668.5	2.019
65.76	680.1	1.945
65.77	685.7	1.877
65.78	688.6	1.805
65.79	700.1	1.705
65.80	719.7	1.590
65.81	725.8	1.514
65.82	719.2	1.475
65.83	711.3	1.442
65.84	711.0	1.398
65.85	717.8	1.344
65.86	717.6	1.314
65.87	710.6	1.305
65.88	694.6	1.311
65.89	660.3	1.344
65.90	619.6	1.388
65.91	594.4	1.414
65.92	585.1	1.430
65.93	578.5	1.470
65.94	563.5	1.554
65.95	538.4	1.689
65.96	499.1	1.914
65.97	455.4	2.221
65.98	419.6	2.547
65.99	392.2	2.851
66.00	373.4	3.096
66.01	360.2	3.277
66.02	354.4	3.371
66.03	356.4	3.374
66.04	363.9	3.317
66.05	375.4	3.228
66.06	391.4	3.111
66.07	407.9	3.011
66.08	416.5	2.985
66.09	425.5	2.969
66.10	448.0	2.879
66.11	473.9	2.788
66.12	493.6	2.751
66.13	519.1	2.690
66.14	552.8	2.600
66.15	583.1	2.531
66.16	616.0	2.444
66.17	644.3	2.362
66.18	662.1	2.297
66.19	683.9	2.196
66.20	715.6	2.045
66.21	714.8	1.976
66.22	650.6	2.094
66.23	604.9	2.192
66.24	590.6	2.209
66.25	564.8	2.290
66.26	538.0	2.392
66.27	520.5	2.476
66.28	502.6	2.586
66.29	488.6	2.700
66.30	483.7	2.772
66.31	481.6	2.824
66.32	477.5	2.873
66.33	470.6	2.926
66.34	459.0	2.999
66.35	440.2	3.112
66.36	421.6	3.220
66.37	409.6	3.273
66.38	406.4	3.256
66.39	411.0	3.188
66.40	420.3	3.103
66.41	431.0	3.026
66.42	442.5	2.957
66.43	451.2	2.910
66.44	455.5	2.888
66.45	459.5	2.864
66.46	462.2	2.840
66.47	459.3	2.841
66.48	457.6	2.824
66.49	459.0	2.782
66.50	458.9	2.744
66.51	455.9	2.717
66.52	449.6	2.701
66.53	441.2	2.691
66.54	440.0	2.640
66.55	450.3	2.539
66.56	465.6	2.435
66.57	473.8	2.389
66.58	473.2	2.398
66.59	468.0	2.434
66.60	460.0	2.487
66.61	448.4	2.562
66.62	441.4	2.613
66.63	441.7	2.623
66.64	441.3	2.638
66.65	435.9	2.682
66.66	428.8	2.736
66.67	433.2	2.730
66.68	448.6	2.676
66.69	461.4	2.649
66.70	454.4	2.725
66.71	427.6	2.899
66.72	410.4	2.995
66.73	411.1	2.956
66.74	414.7	2.897
66.75	405.9	2.926
66.76	395.2	2.973
66.77	397.8	2.930
66.78	404.3	2.881
66.79	399.5	2.928
66.80	382.2	3.069
66.81	370.5	3.170
66.82	375.2	3.141
66.83	384.1	3.097
66.84	389.5	3.095
66.85	396.7	3.082
66.86	394.0	3.136
66.87	377.6	3.281
66.88	365.1	3.372
66.89	360.0	3.381
66.90	354.4	3.390
66.91	348.2	3.405
66.92	342.9	3.407
66.93	322.9	3.548
66.94	287.8	3.876
66.95	253.0	4.258
66.96	222.6	4.646
66.97	202.8	4.893
66.98	192.2	4.978
66.99	186.8	4.979
67.00	181.6	5.012
67.01	176.3	5.080
67.02	176.1	5.025
67.03	177.2	4.950
67.04	174.6	4.981
